,1_star_wmax,1_star_nostop,1_star,1_star_nostop_wmax
0,not stay connected wifi,to get it to,not stay connected wifi,connect to the internet
1,don waste money buy,most of the time,disappointing let qall promo,to get it to
2,not worth money hope,connect to the internet,speaker terrible buy used,most of the time
3,would not recommend product,get it to work,died months little use,to be able to
4,almost completely stopped using,to be able to,confusing trying get thing,if you want to
5,play amazon prime music,on the phone with,weeks yet figure gave,at the same time
6,could get money back,over and over and,not loud get battery,don waste your money
7,would not recommend anyone,not stay connected to,device screwed especially android,get it to work
8,still says can find,doesn listen very well,software device screwed especially,on the phone with
9,get questions answered not,not able to use,trying get thing work,to buy new one
10,every time ask something,died after about year,not smart good music,not worth the money
11,dot completely stopped working,awful piece of equipment,smart good music weather,does not work well
12,don waste time money,and over and over,30 answers don know,of the time it
13,would not stay connected,at the same time,wasted 30 answers don,would not recommend this
14,asking questions not really,of the time it,didn really care never,not stay connected to
,,,,
,5_star_wmax,5_star_nostop,5_star,5_star_nostop_wmax
,,easy to set up,one every room house,
,,to set up and,add things shopping list,
,,to listen to music,one living room one,
,,to be able to,play music throughout house,
,,in the living room,add items shopping list,
,,love being able to,want one every room,
,,lights on and off,living room one bedroom,
,,bought this for my,easy setup works great,
,,it all the time,know ever lived without,
,,in my living room,living room dot bedroom,
,,if you want to,doesn take much room,
,,the sound quality is,easy set easy use,
,,to my shopping list,would highly recommend product,
,,it to play music,love new best friend,
,,easy to use and,add something shopping list,
